entity,year,gross_output_billions,employment_thousands,exports_usd,imports_usd,labor_productivity_index,hhi
Apparel and leather and allied products,2015,18.8,136.38,10422879140.0,129444513349.0,92.2745,2206.5956974277296
Apparel and leather and allied products,2016,18.525,130.78,9840354250.0,121822631146.0,95.324,2050.859250263436
Apparel and leather and allied products,2017,15.7,119.28,9778849836.0,121808154599.0,100.0,1975.2353560812703
Apparel and leather and allied products,2018,16.95,113.86,10153390997.0,128240234412.0,102.014,1884.252624267376
Apparel and leather and allied products,2019,17.35,110.2,9848913058.0,128644017088.0,102.6735,1622.651638616621
Apparel and leather and allied products,2020,17.15,90.23,7473661022.0,102741667102.0,100.7985,1461.9242758646228
Apparel and leather and allied products,2021,19.1,91.24,8980504756.0,126954249215.0,113.3035,1301.4628782131065
Apparel and leather and allied products,2022,17.4,92.25,10172021339.0,154327441257.0,106.144,1250.2111364598045
Apparel and leather and allied products,2023,19.825000000000003,90.01,10252777637.0,121321592642.0,104.4045,1176.4344325477157
Apparel and leather and allied products,2024,21.85,83.71,10176024633.0,124441347442.0,104.1845,1206.8796822745933
Apparel and leather and allied products,2025,22.6,79.0,9382594124.0,121624893914.0,114.982,1065.0596927879233
Chemical products,2015,765.1,806.95,193834180278.0,217099334143.0,102.56,645.9149613971613
Chemical products,2016,767.725,811.84,184375513329.0,215141066563.0,105.143,649.2625646721588
Chemical products,2017,782.65,823.8,192785137464.0,221437699413.0,100.0,690.1033576056385
Chemical products,2018,825.4,835.13,207409225865.0,256625218979.0,97.022,680.9776485402741
Chemical products,2019,805.75,851.02,208793131203.0,262809854821.0,93.354,690.2748919518583
Chemical products,2020,766.95,845.23,197825278264.0,269387531795.0,93.216,730.4608812084299
Chemical products,2021,897.05,870.88,253990010866.0,310772760744.0,96.189,671.4904401487992
Chemical products,2022,954.05,900.94,285457467418.0,358259763015.0,89.514,661.610464231781
Chemical products,2023,973.4,899.33,277640809145.0,347177890035.0,89.865,658.6535154027779
Chemical products,2024,995.825,896.57,285742664538.0,385445392048.0,91.745,734.1645685405651
Chemical products,2025,1016.7,900.46,293196920471.0,411281754815.0,90.013,971.2304472152276
Computer and electronic products,2015,345.2,1025.74,204697316944.0,372259746115.0,97.909,2414.7139425058003
Computer and electronic products,2016,347.525,1018.48,201758616106.0,372608867814.0,95.615,2259.359547524375
Computer and electronic products,2017,354.3,1006.88,208234002294.0,398794801316.0,100.0,2464.943547960293
Computer and electronic products,2018,366.65,1019.22,213593088565.0,420714350732.0,102.681,2410.016348092728
Computer and electronic products,2019,367.25,1037.76,211453950213.0,389698322322.0,99.902,1939.1930897511188
Computer and electronic products,2020,366.3250000000001,1022.84,199634295583.0,390816689036.0,99.789,1792.8250964871136
Computer and electronic products,2021,380.8,1017.23,223140046966.0,459328880888.0,106.442,1658.551096361509
Computer and electronic products,2022,402.65,1044.83,234579785575.0,507669131376.0,107.361,1474.639370321024
Computer and electronic products,2023,399.4,1053.46,230669575189.0,475351641798.0,110.543,1273.777567060786
Computer and electronic products,2024,412.6,1026.1,260011050302.0,547644126173.0,111.625,1199.2224310985562
Computer and electronic products,2025,425.6,997.69,302683166774.0,709353482418.0,114.519,1299.450417606819
"Electrical equipment, appliances, and components",2015,126.4,383.55,60403857368.0,101911575738.0,108.926,2353.706564393448
"Electrical equipment, appliances, and components",2016,122.95,382.6,57092979540.0,102018267639.0,104.867,2292.9448695962965
"Electrical equipment, appliances, and components",2017,124.25,386.29,59606362835.0,110879898346.0,100.0,2270.2436080884363
"Electrical equipment, appliances, and components",2018,128.05,399.47,62682072676.0,122962410671.0,101.419,2308.1037024773814
"Electrical equipment, appliances, and components",2019,131.5,402.65,61186127065.0,121909376376.0,101.712,1926.052253736027
"Electrical equipment, appliances, and components",2020,127.175,383.93,53511451589.0,124202012908.0,104.902,1801.884345526144
"Electrical equipment, appliances, and components",2021,142.0,392.12,59713934561.0,151472085796.0,105.902,1770.782986358262
"Electrical equipment, appliances, and components",2022,169.1,406.26,63336702118.0,172761732838.0,108.614,1668.8313340094742
"Electrical equipment, appliances, and components",2023,186.7,417.38,71122118076.0,173286434165.0,94.628,1577.1307791948004
"Electrical equipment, appliances, and components",2024,192.7,420.61,75685256440.0,190559405050.0,95.588,1543.9597537469454
"Electrical equipment, appliances, and components",2025,199.3,428.98,76007240464.0,192342392384.0,93.399,1243.4237536777823
Fabricated metal products,2015,344.6,1457.81,47051354961.0,67397040300.0,98.39,1370.5728445857046
Fabricated metal products,2016,342.95,1421.59,44704683588.0,65351050723.0,98.187,1408.6332180761003
Fabricated metal products,2017,346.27500000000003,1424.64,45735783466.0,68819830519.0,100.0,1463.8438651723557
Fabricated metal products,2018,373.225,1469.5,48630043699.0,77082371258.0,101.625,1535.3308517502403
Fabricated metal products,2019,377.5,1485.27,49231973508.0,75355451227.0,99.868,1319.1005369764052
Fabricated metal products,2020,346.225,1386.02,41612717554.0,69584803051.0,100.732,1286.1508213198292
Fabricated metal products,2021,391.35,1382.0,46913020846.0,86944028745.0,103.539,1294.3674195026415
Fabricated metal products,2022,452.975,1432.17,53775025636.0,100380521075.0,101.136,1264.8485367990158
Fabricated metal products,2023,455.125,1447.39,56799725200.0,91521984671.0,95.297,1089.4547665826194
Fabricated metal products,2024,460.525,1441.5,59955928551.0,97336766256.0,92.193,1096.5780072295274
Fabricated metal products,2025,464.7,1436.22,60741045023.0,88111231380.0,89.175,946.1062406362604
Food and beverage and tobacco products,2015,947.8,1726.55,72691491275.0,79634331910.0,109.0545,773.5237095698633
Food and beverage and tobacco products,2016,952.5,1791.52,70244962108.0,80268532599.0,104.4355,804.9667068506801
Food and beverage and tobacco products,2017,953.1,1849.04,72667958110.0,84413189890.0,100.0,797.3674918347956
Food and beverage and tobacco products,2018,956.45,1883.18,75912508758.0,92193865459.0,99.2765,756.7171076229797
Food and beverage and tobacco products,2019,977.825,1919.68,75108322053.0,94934687217.0,97.814,785.8505472133317
Food and beverage and tobacco products,2020,1002.825,1878.73,74855173075.0,99049982915.0,97.284,812.271708985807
Food and beverage and tobacco products,2021,1086.675,1924.78,86570957261.0,117432982268.0,93.0635,863.6638756346936
Food and beverage and tobacco products,2022,1210.7,2010.78,94185445672.0,137978076369.0,87.773,884.4582564070693
Food and beverage and tobacco products,2023,1230.7,2059.74,90640822169.0,136089270334.0,83.3605,984.7226592525404
Food and beverage and tobacco products,2024,1252.85,2097.8,94177248624.0,149237360032.0,80.129,914.42300051464
Food and beverage and tobacco products,2025,1268.3,2098.7,92773233102.0,149063826240.0,78.62049999999999,836.606109564013
Furniture and related products,2015,76.1,380.97,5899478588.0,36874150225.0,104.122,3317.217885476864
Furniture and related products,2016,75.8,390.16,5568032577.0,38419376077.0,102.38,3307.627367339249
Furniture and related products,2017,76.275,394.87,5680244620.0,41889062320.0,100.0,3410.115467843753
Furniture and related products,2018,76.7,392.7,5877777519.0,45347091843.0,99.095,3462.5366827652065
Furniture and related products,2019,74.175,387.47,5729356108.0,42204613024.0,97.443,2457.8848530313367
Furniture and related products,2020,70.0,359.04,4895616591.0,42582463105.0,96.87,2088.098416947388
Furniture and related products,2021,75.05,373.71,5522142595.0,52055788048.0,94.314,2001.6867894526888
Furniture and related products,2022,83.85,378.56,5124335402.0,52899211501.0,95.767,1828.638374168529
Furniture and related products,2023,83.575,358.02,5107828944.0,42022309182.0,92.873,1681.6621910373797
Furniture and related products,2024,84.6,343.42,5144654811.0,44409474474.0,93.574,1777.253006735344
Furniture and related products,2025,85.3,337.94,4807348380.0,39900209538.0,89.711,1642.8503571351682
Machinery,2015,372.3,1120.66,139100946653.0,156908287203.0,100.866,987.6895328858592
Machinery,2016,357.725,1076.29,124945895144.0,150372054484.0,97.057,1034.8646610225107
Machinery,2017,378.25,1079.0,133990510929.0,168545645762.0,100.0,1043.0898529110482
Machinery,2018,389.65,1116.92,142736000108.0,187951203798.0,102.624,1014.1995241645154
Machinery,2019,391.125,1126.28,136889467924.0,187999163024.0,99.587,929.6627602253348
Machinery,2020,352.275,1054.78,123296986298.0,168852338021.0,96.496,922.2318413801044
Machinery,2021,391.2,1056.21,146308908678.0,206146863069.0,102.703,881.3748946934049
Machinery,2022,436.4,1106.27,163800221731.0,233041420425.0,96.703,843.6874932931261
Machinery,2023,443.375,1130.3,165975234683.0,239265503351.0,95.796,801.9443536830665
Machinery,2024,436.7,1112.77,166167980400.0,245929417644.0,91.675,785.4127774957486
Machinery,2025,437.3,1089.09,160211911045.0,233462832933.0,93.698,762.3796104483729
Miscellaneous manufacturing,2015,171.1,589.88,78248748101.0,114987117290.0,104.099,1486.641586261475
Miscellaneous manufacturing,2016,157.8,590.9,78419231284.0,117378195250.0,104.547,1411.4992020383695
Miscellaneous manufacturing,2017,158.85,594.46,80382734201.0,121351922315.0,100.0,1422.5425354209867
Miscellaneous manufacturing,2018,167.325,608.15,83884495054.0,129878937439.0,102.046,1420.5418533220286
Miscellaneous manufacturing,2019,166.825,617.41,82220010959.0,129589438219.0,95.969,1356.9968951450403
Miscellaneous manufacturing,2020,157.325,586.02,64725872863.0,121144569024.0,96.732,1450.2911411622667
Miscellaneous manufacturing,2021,175.1,607.26,78323499067.0,168245771892.0,102.503,1454.261981206095
Miscellaneous manufacturing,2022,176.575,628.42,87796489225.0,176228542766.0,94.592,1473.604963789316
Miscellaneous manufacturing,2023,175.4,626.12,92711874047.0,159611579873.0,90.619,1221.785219025576
Miscellaneous manufacturing,2024,178.175,615.94,88016359810.0,156294381266.0,87.867,1264.4809850168629
Miscellaneous manufacturing,2025,181.9,612.73,84060180739.0,132914558703.0,82.752,954.8646409219843
"Motor vehicles, bodies and trailers, and parts",2015,634.3,913.6,156934311246.37366,213703586431.7304,105.254,1468.7567743986908
"Motor vehicles, bodies and trailers, and parts",2016,626.05,944.24,160338969237.7942,217349395617.9634,100.586,1481.8192515158398
"Motor vehicles, bodies and trailers, and parts",2017,597.175,963.38,163279107491.3507,225866506387.6124,100.0,1502.4553073357422
"Motor vehicles, bodies and trailers, and parts",2018,638.025,998.44,168077840548.5952,237306680004.44885,99.366,1533.4949977647152
"Motor vehicles, bodies and trailers, and parts",2019,650.25,993.38,165038080903.78003,238174069140.7408,95.353,1560.1920169263667
"Motor vehicles, bodies and trailers, and parts",2020,576.4,887.34,111905852750.77373,187326279929.6501,92.497,1560.8043854366183
"Motor vehicles, bodies and trailers, and parts",2021,666.925,959.81,130532755038.15956,213294512394.1883,92.206,1576.1397026983984
"Motor vehicles, bodies and trailers, and parts",2022,716.825,1005.49,149873412052.34192,242807702897.24017,95.457,1649.269572332269
"Motor vehicles, bodies and trailers, and parts",2023,786.25,1024.71,170149341096.4588,276842275592.2071,99.944,1698.0483164560685
"Motor vehicles, bodies and trailers, and parts",2024,770.975,1010.17,167985620166.85184,279537896926.651,97.488,1705.7211385970395
"Motor vehicles, bodies and trailers, and parts",2025,750.7,967.43,175749145386.1647,246719909403.2669,99.967,1793.830574639392
Nonmetallic mineral products,2015,122.2,398.07,11563402082.0,21799086446.0,102.022,1467.9236785247133
Nonmetallic mineral products,2016,124.85,406.22,11457113175.0,21646350610.0,102.513,1469.6184362904105
Nonmetallic mineral products,2017,127.325,409.59,12119589837.0,22990774647.0,100.0,1518.1928028866432
Nonmetallic mineral products,2018,131.425,416.14,12495206241.0,25290334282.0,100.254,1628.922209800069
Nonmetallic mineral products,2019,135.075,418.53,11823855976.0,23960969502.0,100.168,1257.9083452855552
Nonmetallic mineral products,2020,133.3,399.53,10543433378.0,21782263218.0,102.092,1071.073377046658
Nonmetallic mineral products,2021,145.65,403.95,12407270788.0,27837395925.0,106.672,1095.6949411822352
Nonmetallic mineral products,2022,166.875,417.62,12405709654.0,31276114533.0,103.686,1128.66176323426
Nonmetallic mineral products,2023,173.35,420.49,12337921781.0,27773154425.0,97.331,1026.6696015380735
Nonmetallic mineral products,2024,175.275,418.16,12179126838.0,28893065617.0,89.803,1056.6019565786487
