entity,year,gross_output_billions,employment_thousands,exports_usd,imports_usd,labor_productivity_index,hhi
Computer and electronic products,2020,366.3250000000001,1022.84,199634295583.0,390816689036.0,99.789,1792.8250964871136
Computer and electronic products,2021,380.8,1017.23,223140046966.0,459328880888.0,106.442,1658.551096361509
Computer and electronic products,2022,402.65,1044.83,234579785575.0,507669131376.0,107.361,1474.639370321024
Computer and electronic products,2023,399.4,1053.46,230669575189.0,475351641798.0,110.543,1273.777567060786
Computer and electronic products,2024,412.6,1026.1,260011050302.0,547644126173.0,111.625,1199.2224310985562
Computer and electronic products,2025,425.6,997.69,302683166774.0,709353482418.0,114.519,1299.450417606819
Food and beverage and tobacco products,2020,1002.825,1878.73,74855173075.0,99049982915.0,97.284,812.271708985807
Food and beverage and tobacco products,2021,1086.675,1924.78,86570957261.0,117432982268.0,93.0635,863.6638756346936
Food and beverage and tobacco products,2022,1210.7,2010.78,94185445672.0,137978076369.0,87.773,884.4582564070693
Food and beverage and tobacco products,2023,1230.7,2059.74,90640822169.0,136089270334.0,83.3605,984.7226592525404
Food and beverage and tobacco products,2024,1252.85,2097.8,94177248624.0,149237360032.0,80.129,914.42300051464
Food and beverage and tobacco products,2025,1268.3,2098.7,92773233102.0,149063826240.0,78.62049999999999,836.606109564013
Machinery,2020,352.275,1054.78,123296986298.0,168852338021.0,96.496,922.2318413801044
Machinery,2021,391.2,1056.21,146308908678.0,206146863069.0,102.703,881.3748946934049
Machinery,2022,436.4,1106.27,163800221731.0,233041420425.0,96.703,843.6874932931261
Machinery,2023,443.375,1130.3,165975234683.0,239265503351.0,95.796,801.9443536830665
Machinery,2024,436.7,1112.77,166167980400.0,245929417644.0,91.675,785.4127774957486
Machinery,2025,437.3,1089.09,160211911045.0,233462832933.0,93.698,762.3796104483729
Textile mills and textile product mills,2020,45.825,198.3,10830077090.0,45150834956.0,100.6395,3605.9326833158234
Textile mills and textile product mills,2021,51.1,201.12,12410362037.0,39722914009.0,104.3015,2231.8036963096392
Textile mills and textile product mills,2022,50.3,201.27,12894900554.0,37128770296.0,93.473,1941.1255050503676
Textile mills and textile product mills,2023,47.275,189.98,11631189537.0,30842001967.0,98.665,1811.8795231395152
Textile mills and textile product mills,2024,46.85,183.59,11216057689.0,32721164597.0,99.6145,1907.582308023787
Textile mills and textile product mills,2025,47.2,175.21,10822790641.0,29395642136.0,100.858,1505.3941523363526
